entry_type,title,author,year,journal,booktitle,volume,number,pages,publisher,doi,url,abstract,address,articleno,isbn,issn,issue_date,keywords,location,note,numpages,series
article,Understanding the Interaction between Delivery Robots and Other Road and Sidewalk Users: A Study of User-generated Online Videos,"Yu, Xinyan and Hoggenm\",2024,J. Hum.-Robot Interact.,,13,4,,Association for Computing Machinery,10.1145/3677615,https://doi.org/10.1145/3677615,"The deployment of autonomous delivery robots in urban environments presents unique challenges in navigating complex traffic conditions and interacting with diverse road and sidewalk users. Effective communication between robots and road and sidewalk users is crucial to address these challenges. This study investigates real-world encounter scenarios where delivery robots and road and sidewalk users interact, seeking to understand the essential role of communication in ensuring seamless encounters. Following an online ethnography approach, we collected 117 user-generated videos from TikTok and their associated 2,067 comments. Our systematic analysis revealed several design opportunities to augment communication between delivery robots and road and sidewalk users, which include facilitating multi-party path negotiation, managing unexpected robot behaviour via transparency information, and expressing robot limitations to request human assistance. Moreover, the triangulation of video and comments analysis provides a set of design considerations to realise these opportunities. The findings contribute to understanding the operational context of delivery robots and offer insights for designing interactions with road and sidewalk users, facilitating their integration into urban spaces.","New York, NY, USA",59,,,Dec-24,"delivery robots, online ethnography, human-robot interaction",,,32,
inproceedings,Explainable Agents (XAg) by Design,"Rodriguez, Sebastian and Thangarajah, John",2024,,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,,2712?€?2716,International Foundation for Autonomous Agents and Multiagent Systems,,,"The likes of ChatGPT has propelled the use of AI techniques beyond our community's expectations. Along with this, the fear of AI has also risen, in particular around the ability, or lack thereof, of the AI system to explain its behaviours. Explainability is a key element of building trust and an important issue for our community. In this paper we advocate for agents that are explainable-by-design, that is, explainability is built into the development of agents rather than an afterthought. We propose key features of an explainable agent (XAg) system and propose a general framework that enables explainability. We advocate the use of design patterns to develop XAgs and propose a general design pattern that can be used for any agent architecture. We instantiate our framework for goal-based agents and implement the framework for the SARL agent programming language coupled with a state-of-the-art event management system. We make a call to the developers of other agent programming languages (APLs) in our community to follow suit by instantiating the general framework we propose into their APL, perhaps even enhancing the framework we present. We also propose an open repository of design patterns and examples for agent systems. If nothing else, we hope this paper will inspire further work on XAg from the design perspective as it is critical that multi agent systems are explainable by design!","Richland, SC",,9.7984E+12,,,"aose, emas, explainable ai","Auckland, New Zealand",,5,AAMAS '24
inproceedings,Interactively Explaining Robot Policies to Humans in Integrated Virtual and Physical Training Environments,"Qian, Peizhu and Unhelkar, Vaibhav Vasant",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,847?€?851,Association for Computing Machinery,10.1145/3610978.3640656,https://doi.org/10.1145/3610978.3640656,"Policy summarization is a computational paradigm for explaining the behavior and decision-making processes of autonomous robots to humans. It summarizes robot policies via exemplary demonstrations, aiming to improve human understanding of robotic behaviors. This understanding is crucial, especially since users often make critical decisions about robot deployment in the real world. Previous research in policy summarization has predominantly focused on simulated robots and environments, overlooking its application to physically embodied robots. Our work fills this gap by combining current policy summarization methods with a novel, interactive user interface that involves physical interaction with robots. We conduct human-subject experiments to assess our explanation system, focusing on the impact of different explanation modalities in policy summarization. Our findings underscore the unique advantages of combining virtual and physical training environments to effectively communicate robot behavior to human users.","New York, NY, USA",,9.7984E+12,,,"AI-assisted human training, explainable AI, value alignment","Boulder, CO, USA",,5,HRI '24
inproceedings,Children's Interpretation of Emotional Body Language Displayed by a Humanoid Robot: A Case Study,"Consoli, Ilaria and Mattutino, Claudio and Gena, Cristina",2024,,"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",,,207?€?210,Association for Computing Machinery,10.1145/3631700.3664888,https://doi.org/10.1145/3631700.3664888,"This paper presents an empirical study that examined how children interpret emotional body language displayed by the humanoid robot NAO. The purpose of the study is to provide insights into how children perceive and respond to emotional cues from robotic agents presenting an empirical evaluation that explores the effectiveness of using a humanoid robot to convey emotions to children. Through the examined results, the study aims to highlight the potential of using humanoid robots in educational and therapeutic contexts.","New York, NY, USA",,9.7984E+12,,,"affective interaction, emotional body language, human robot interaction","Cagliari, Italy",,4,UMAP Adjunct '24
inproceedings,Enhancing User Understanding of Reinforcement Learning Agents Through Visual Explanations,"Amitai, Yotam",2023,,Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems,,,2937?€?2939,International Foundation for Autonomous Agents and Multiagent Systems,,,"With the rapid advancement of Artificial Intelligence, the frequency of interaction between people and autonomous agents is on the rise. Effective human-agent collaboration requires that people understand the agent's behavior. Failing to do so may cause reduced productiveness, misuse, frustration, and even danger. Current explainable AI methods prioritize interpreting the local decisions of an agent, putting less emphasis on the challenge of conveying global behavior. Furthermore, there is a growing demand for explanation methods for agents in sequential decision-making frameworks such as reinforcement learning. Agent strategy summarization methods are used to describe the strategy of an agent to its user through demonstration. The summary's purpose is to maximize the user's understanding of the agent's aptitude by showcasing its behavior in a set of world states, chosen by some importance criteria. Extracting the crucial states from the execution traces of the agent in such a way as to best portray the agent's behavior is a challenging task. My thesis tackles this objective by adding to the equation the context in which the user interacts with the agent. This research proposes novel methods for generating summary-based explanations for reinforcement learning agents","Richland, SC",,9.78145E+12,,,"contrastive, explainable reinforcement learning, interactive","London, United Kingdom",,3,AAMAS '23
inproceedings,Understanding demonstratives produced by agents,"Kimura, Hina and Kobayashi, Harumi and Yasuda, Tetsuya",2024,,Proceedings of the 12th International Conference on Human-Agent Interaction,,,387?€?389,Association for Computing Machinery,10.1145/3687272.3690892,https://doi.org/10.1145/3687272.3690892,"It is essential to investigate how humans interpret a communicative robot?€?s ?€?utterances.?€? This study examined how Japanese participants interpreted an agent?€?s use of demonstratives kono (this) and ano (that) when the agent was either human or robot, since demonstratives are important words for joint attention. In the experiment, participants observed an agent (robot or human agent) uttering an expression using demonstratives with or without eye contact. Then participants were asked to respond the intended referent. Participants?€? eye gaze was also recorded. The results were that, in the use of demonstratives, newly appearing referents were assumed to be referred. Shorter reaction times were observed when eye contact was initially established compared to when there was no eye contact, and when the robot agent spoke rather than the human agent. It suggested participants paid more attention to human agent?€?s referential intention. Interpretation of demonstratives seems to be influenced by agent types.","New York, NY, USA",,9.7984E+12,,,"Demonstratives, Eye Contact, Robot Agent","Swansea, United Kingdom",,3,HAI '24
inproceedings,Towards Sustainable Human-Agent Teams: A Framework for Understanding Human-Agent Team Dynamics,"Prada, Rui and Homan, Astrid C. and van Kleef, Gerben A.",2024,,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,,2696?€?2700,International Foundation for Autonomous Agents and Multiagent Systems,,,"Human-agent teamwork is a promising research stream with great potential to impact society. Research on collaborative AI and human-agent interaction has tackled the problem from several perspectives, but we argue that a focus on teams as a unit and a model for human-agent team dynamics is missing. Such a focus is particularly relevant if we aim at involving agents as active team members and at building sustainable teams over time. A team perspective on human-agent collaboration requires new models that pose challenges for AI and humans alike. AI needs new models to build an understanding of team level variables, such as team structure and cohesion, to be able to monitor the team and act on the team beyond performing the task. Humans, in turn, need to be able to incorporate agents as team members in their mental models of teamwork and integrate them into team processes. Such human-agent team dynamics models should be built taking into account four different levels: individual, interpersonal, team, and organisational. We believe that to fulfill this vision we need to bring together the different fields of AI and social sciences.","Richland, SC",,9.7984E+12,,,"collaborative ai, human-agent interaction, human-agent teams, team dynamics, teamwork","Auckland, New Zealand",,5,AAMAS '24
inproceedings,From Interaction to Impact: Towards Safer AI Agent Through Understanding and Evaluating Mobile UI Operation Impacts,"Zhang, Zhuohao (Jerry) and Schoop, Eldon and Nichols, Jeffrey and Mahajan, Anuj and Swearngin, Amanda",2025,,Proceedings of the 30th International Conference on Intelligent User Interfaces,,,727?€?744,Association for Computing Machinery,10.1145/3708359.3712153,https://doi.org/10.1145/3708359.3712153,"With advances in generative AI, there is increasing work towards creating autonomous agents that can manage daily tasks by operating user interfaces (UIs). While prior research has studied the mechanics of how AI agents might navigate UIs and understand UI structure, the effects of agents and their autonomous actions?€?particularly those that may be risky or irreversible?€?remain under-explored. In this work, we investigate the real-world impacts and consequences of mobile UI actions taken by AI agents. We began by developing a taxonomy of the impacts of mobile UI actions through a series of workshops with domain experts. Following this, we conducted a data synthesis study to gather realistic mobile UI screen traces and action data that users perceive as impactful. We then used our impact categories to annotate our collected data and data repurposed from existing mobile UI navigation datasets. Our quantitative evaluations of different large language models (LLMs) and variants demonstrate how well different LLMs can understand the impacts of mobile UI actions that might be taken by an agent. We show that our taxonomy enhances the reasoning capabilities of these LLMs for understanding the impacts of mobile UI actions, but our findings also reveal significant gaps in their ability to reliably classify more nuanced or complex categories of impact.","New York, NY, USA",,9.7984E+12,,,"AI, LLM, Agent, AI Safety, UI Understanding, UI Operation Impact",,,18,
inproceedings,Exploring the Impact of Explanation Representation on User Satisfaction in Robot Navigation,"Halilovic, Amar and Chandrayan, Vanchha and Krivic, Senka",2024,,Proceedings of the 2024 International Symposium on Technological Advances in Human-Robot Interaction,,,1?€?9,Association for Computing Machinery,10.1145/3648536.3648537,https://doi.org/10.1145/3648536.3648537,"The decisions made by autonomous robots hold substantial influence over how humans perceive their behavior. One way to alleviate potential negative impressions of such decisions by humans and enhance human comprehension of them is through explaining. We introduce visual and textual explanations integrated into robot navigation, considering the surrounding environmental context. To gauge the effectiveness of our approach, we conducted a comprehensive user study, assessing user satisfaction across different forms of explanation representation. Our empirical findings reveal a notable discrepancy in user satisfaction, with significantly higher levels observed for explanations that adopt a multimodal format, as opposed to those relying solely on unimodal representations.","New York, NY, USA",,9.7984E+12,,,"explainable robotics, human-robot interaction, robot navigation","Boulder, CO, USA",,9,TAHRI '24
inproceedings,A Generalizable Architecture for Explaining Robot Failures Using Behavior Trees and Large Language Models,"Tagliamonte, Christian and Maccaline, Daniel and LeMasurier, Gregory and Yanco, Holly A.",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,1038?€?1042,Association for Computing Machinery,10.1145/3610978.3640551,https://doi.org/10.1145/3610978.3640551,"As robots are more commonly being deployed in shared human-robot environments, the need for robots to communicate their failures and answer questions about them becomes increasingly important. This paper describes a generalizable architecture, using Behavior Trees and Large Language Models, to generate explanations and answer follow up questions. We compare responses from our new system to those from existing templated systems, and find that our system produces comparable and accurate results. Finally, we propose a set of user studies to evaluate the effectiveness and understandability of our new explanation architecture.","New York, NY, USA",,9.7984E+12,,,"behavior explanation, behavior trees, large language models, robot explanation generation, robot transparency","Boulder, CO, USA",,5,HRI '24
inproceedings,Understanding Emotional and Cognitive Dynamics in Older Adults Using Personalized Care Robots,"Choi, Narae and Park, Do-Hyung",2024,,Proceedings of the 2024 7th International Conference on Machine Learning and Machine Intelligence (MLMI),,,163?€?170,Association for Computing Machinery,10.1145/3696271.3696298,https://doi.org/10.1145/3696271.3696298,"The aim of this paper is to comprehensively examine the emotional and cognitive aspects of older adult users who utilize personalized care service robots. Furthermore, this text aims to present a methodology for involving older adults, the end-users, in the design process of social robots. It explores conversation as a key to understanding user perspectives and emotions. Analyzing 191 users (60+), we employed a mixed-method approach, integrating pre-survey data, voice conversations, and function logs. Findings reveal correlations between education, life satisfaction, and robot conversations. Users with conversational experience exhibit increased interactions, revealing distinct clusters (","New York, NY, USA",,9.7984E+12,,,"Conversational interaction, HRI, Mixed methods, Older adult, Phenomenological analysis, Social robot, discriminant analysis",,,8,
inproceedings,MAF-ID: Multi-Agent Framework for Interactive Dubbing through Deep Video Understanding,"Hu, Zhanbin and He, Xiaodong and Pan, Renzhou and Zeng, Xianzhou and Fan, Chenming and Zhu, Qiang",2024,,Proceedings of the 32nd ACM International Conference on Multimedia,,,11261?€?11263,Association for Computing Machinery,10.1145/3664647.3684992,https://doi.org/10.1145/3664647.3684992,"In the domain of video generation, Text-to-video suffers from a notable application gap due to lack of audio that harmonizes with the visual content. Current solutions typically dubbing based solely on the original text used for generate video, which causes a mismatch between the video content and audio details, primarily stems from the lack of understanding of the video's visual modality. Leveraging advancements in multimodal large language model and LLM-based Agent, we propose MAF-ID, a multi-agent interactive framework for video dubbing based on deep video understanding. MAF-ID achieves agent collaboration through the autonomous interaction of three agents, to capture a deep understanding of the video visual content from macro to micro, progressively generate sound effects, voice-overs, and background music that is adaptive to the video. By deeply aligning text, video, and audio modalities, our method significantly enhances the fine-grained coordination between video and audio, making it widely available for AI-generated videos, VLOGs, and other video production scenarios requiring dubbing.","New York, NY, USA",,9.7984E+12,,,"audio generation, multi-agent, video understanding","Melbourne VIC, Australia",,3,MM '24
article,Design Metaphors for Understanding User Expectations of Socially Interactive Robot Embodiments,"Dennler, Nathaniel and Ruan, Changxiao and Hadiwijoyo, Jessica and Chen, Brenna and Nikolaidis, Stefanos and Matari\'{c",2023,J. Hum.-Robot Interact.,,12,2,,Association for Computing Machinery,10.1145/3550489,https://doi.org/10.1145/3550489,"The physical design of a robot suggests expectations of that robot?€?s functionality for human users and collaborators. When those expectations align with the robot?€?s true capabilities, users are more likely to adopt the technologies for their intended use. However, the relationship between expectations and socially interactive robot design is not well understood. This article applies the concept of design metaphors to robot design and contributes the Metaphors for Understanding Functional and Social Anticipated Affordances dataset of 165 extant robots and the expectations users place on them. We used Mechanical Turk to crowd-source user expectation over three user studies. The first study (N = 382) associated crowd-sourced design metaphors to different robot embodiments. The second study (N = 803) assessed initial social expectations of robot embodiments. The final study (N = 805) addressed the degree of abstraction of the design metaphors and the functional expectations projected on robot embodiments. We performed analyses to gain insights into how design metaphors can be used to understand social and functional expectations of robots and how these data can be visualized to be useful for study designers and robot designers. Together, these results can serve to guide robot designers toward aligning user expectations with true robot capabilities, facilitating positive human?€?robot interaction.","New York, NY, USA",21,,,Jun-23,"Socially interactive robots, robot morphology, social perceptions",,,41,
inproceedings,Improving Human-Robot Team Transparency with Eye-tracking based Situation Awareness Assessment,"Aderinto, Favour and Bhagat Smith, Josh and Giolando, Mark-Robin and Baskaran, Prakash and Adams, Julie A.",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,177?€?181,Association for Computing Machinery,10.1145/3610978.3640647,https://doi.org/10.1145/3610978.3640647,Human-robot interactions rely on transparency to foster effective collaboration. Transparency can be assessed through metrics associated with factors such as situation awareness. This manuscript presents an ocular metric to assess situation awareness for human-machine teams. Participants used a decision support system to select a grasp for underwater manipulation. The participants' gaze behavior and visual awareness was analyzed using a wearable eye tracker. An initial analysis that measures saccadic distance provides insight into the requirements of future techniques for objectively assessing situation awareness.,"New York, NY, USA",,9.7984E+12,,,"eye-tracking, human-robot teams, situation awareness, transparency","Boulder, CO, USA",,5,HRI '24
inproceedings,Technical Transparency for Robot Navigation Through AR Visualizations,"Dyck, Leonie and Beierling, Helen and Helmert, Robin and Vollmer, Anna-Lisa",2023,,Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,,,720?€?724,Association for Computing Machinery,10.1145/3568294.3580181,https://doi.org/10.1145/3568294.3580181,"Since robots can facilitate our everyday life by assisting us in basic tasks, they are continuously integrated into our life. However, for a robot to establish itself, a user must accept and trust its doing. As the saying goes, you don't trust things you don't understand. Therefore, the base hypothesis of this paper is that providing technical transparency for users can increase understanding of the robot architecture and its behaviors as well as trust and acceptance towards it. In this work, we aim to improve a robot's understanding, trust, and acceptance by displaying transparent visualizations of its intention and perception in augmented reality. We conducted a user study where robot navigation with certain interruptions was demonstrated to two groups. The first group did not have AR visualizations displayed during the first demonstration; in the second demonstration, the visualizations were shown. The second group had the visualizations displayed throughout only one demonstration. Results showed that understanding increased with AR visualizations when prior knowledge had been gained in previous demonstrations.","New York, NY, USA",,9.78145E+12,,,"augmented reality, explainability, human-robot-interaction, transparency","Stockholm, Sweden",,5,HRI '23
article,A Transparency-Based Action Model Implemented in a Robotic Physical Trainer for Improved HRI,"Aharony, Naama and Krakovski, Maya and Edan, Yael",2024,J. Hum.-Robot Interact.,,14,1,,Association for Computing Machinery,10.1145/3700598,https://doi.org/10.1145/3700598,"Transparency is an important aspect of human?€?robot interaction (HRI), as it can improve system trust and usability, leading to improved communication and performance. However, most transparency models focus only on the amount of information given to users. In this article, we propose a bidirectional transparency model, termed the transparency-based action (TBA) model, which allows the robot to take actions based on transparency information received from the human (robot-of-human and human-to-robot), in addition to providing transparency information to the human (robot-to-human). To examine the impact of a three-level (High, Medium and Low) TBA model on acceptance and HRI, we first implemented the model on a robotic system trainer in two pilot studies (with students as participants). Based on the results of these studies, the Medium TBA level was not included in the subsequent main experiment, which was conducted with older adults (aged 75?€?85). In that experiment, two TBA levels were compared: Low (basic information including only robot-to-human transparency) and High (including additional information relating to predicted outcomes with robot-of-human and human-to-robot transparency). The results revealed a statistically significant difference between the two TBA levels of the model in terms of perceived usefulness, ease of use, and attitude. The High TBA level was preferred by users and yielded improved user acceptance.","New York, NY, USA",15,,,Mar-25,"Transparency, HRI, Robotic trainer system, User acceptance, Older adults",,,19,
inproceedings,Go Beyond Black-box Policies: Rethinking the Design of Learning Agent for Interpretable and Verifiable HVAC Control,"An, Zhiyu and Ding, Xianzhong and Du, Wan",2024,,Proceedings of the 61st ACM/IEEE Design Automation Conference,,,,Association for Computing Machinery,10.1145/3649329.3656234,https://doi.org/10.1145/3649329.3656234,"Recent research has shown the potential of Model-based Reinforcement Learning (MBRL) to enhance energy efficiency of Heating, Ventilation, and Air Conditioning (HVAC) systems. However, existing methods rely on black-box thermal dynamics models and stochastic optimizers, lacking reliability guarantees and posing risks to occupant health. In this work, we overcome the reliability bottleneck by redesigning HVAC controllers using decision trees extracted from existing thermal dynamics models and historical data. Our decision tree-based policies are deterministic, verifiable, interpretable, and more energy-efficient than current MBRL methods. First, we introduce a novel verification criterion for RL agents in HVAC control based on domain knowledge. Second, we develop a policy extraction procedure that produces a verifiable decision tree policy. We found that the high dimensionality of the thermal dynamics model input hinders the efficiency of policy extraction. To tackle the dimensionality challenge, we leverage importance sampling conditioned on historical data distributions, significantly improving policy extraction efficiency. Lastly, we present an offline verification algorithm that guarantees the reliability of a control policy. Extensive experiments show that our method saves 68.4% more energy and increases human comfort gain by 14.8% compared to the state-of-the-art method, in addition to an 1127\texttimes{","New York, NY, USA",86,9.7984E+12,,,,"San Francisco, CA, USA",,6,DAC '24
inproceedings,Design Patterns for Explainable Agents (XAg),"Rodriguez, Sebastian and Thangarajah, John and Davey, Andrew",2024,,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,,1621?€?1629,International Foundation for Autonomous Agents and Multiagent Systems,,,"The ability to explain the behaviour of the AI systems is a key aspect of building trust, especially for autonomous agent systems - how does one trust an agent whose behaviour can not be explained? In this work, we advocate the use of design patterns for developing explainable-by-design agents (XAg), to ensure explainability is an integral feature of agent systems rather than an","Richland, SC",,9.7984E+12,,,"aose, design patterns, emas, explainable agents","Auckland, New Zealand",,9,AAMAS '24
inproceedings,Are Robots' Gestures Understood? A Study on the Factors Influencing how Humans Perceive Information Present in Robot Gestures,"Bohnenkamp, Lisa Michelle and Abramov, Olga and Kopp, Stefan",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,263?€?267,Association for Computing Machinery,10.1145/3610978.3640572,https://doi.org/10.1145/3610978.3640572,"Social robots become increasingly important in various social domains like healthcare, education, and industry. In this paper, we explore whether humans understand the meaning conveyed by robot gestures when they occur alongside speech and other co-speech gestures with no meaning. We analyzed human comprehension of basic shapes presented through robot gestures varying gesture size and verbal context. Our findings show that humans notice robot gestures but struggle to understand the information provided by them. Explicitly directing attention to robot gestures improves understanding. Moreover, providing indirect information about robot's capabilities to gesture enhances the human ability to extract the correct information from gestures, with the effect linearly increasing with the number of observations of the robot.","New York, NY, USA",,9.7984E+12,,,"robot gestures, speech-gesture integration","Boulder, CO, USA",,5,HRI '24
inproceedings,Understanding Iterative Combinatorial Auction Designs via Multi-Agent Reinforcement Learning,"d'Eon, Greg and Newman, Neil and Leyton-Brown, Kevin",2024,,Proceedings of the 25th ACM Conference on Economics and Computation,,,1102?€?1130,Association for Computing Machinery,10.1145/3670865.3673644,https://doi.org/10.1145/3670865.3673644,"Iterative combinatorial auctions are widely used in high stakes settings such as spectrum auctions. Such auctions can be hard to analyze, making it difficult for bidders to determine how to behave and for designers to optimize auction rules to ensure desirable outcomes such as high revenue or welfare. In this paper, we investigate whether multi-agent reinforcement learning (MARL) algorithms can be used to understand iterative combinatorial auctions, given that these algorithms have recently shown empirical success in several other domains. We find that MARL can indeed benefit auction analysis, but that deploying it effectively is nontrivial. We begin by describing modelling decisions that keep the resulting game tractable without sacrificing important features such as imperfect information or asymmetry between bidders. We also discuss how to navigate pitfalls of various MARL algorithms, how to overcome challenges in verifying convergence, and how to generate and interpret multiple equilibria. We illustrate the promise of our resulting approach by using it to evaluate a specific rule change to a clock auction, finding substantially different auction outcomes due to complex changes in bidders' behavior.","New York, NY, USA",,9.7984E+12,,,"mechanism design, approximate equilibria, multi-agent reinforcement learning","New Haven, CT, USA",,29,EC '24
inproceedings,Explainability and Interpretability in Agent based Modelling to Approximate Market Indexes,"Neri, Filippo",2023,,Proceedings of the 2023 8th International Conference on Machine Learning Technologies,,,139?€?143,Association for Computing Machinery,10.1145/3589883.3589904,https://doi.org/10.1145/3589883.3589904,"We will discuss the notions of explainability and interpretability when using agent based modeling to approximate market indexes. As working context we will use the L-FABS system [22, 28] where agent based modeling, whose parameters are learned by simulated annealing, is used to explain and predict financial time series like: SP500, DJIA, GLD, SLV, etc. We will assume the following definitions for interpretability: being able to make sense of system output, and explainability: understanding how that output was generated as in [18]. Novelty of the paper: the discussion of explainability and interpretability in agent based modelling as implemented in L-FABS. An empirical case study will be discussed. Please note that the goal of this paper is not to describe how L-FABS works.","New York, NY, USA",,9.78145E+12,,,"Genetic algorithms, Software Agents modeling.","Stockholm, Sweden",,5,ICMLT '23
inproceedings,I Need to Pass Through! Understandable Robot Behavior for Passing Interaction in Narrow Environment,"Fujioka, Yusuke and Liu, Yuyi and Kanda, Takayuki",2024,,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,213?€?221,Association for Computing Machinery,10.1145/3610977.3634951,https://doi.org/10.1145/3610977.3634951,"We developed a motion control algorithm for a social mobile robot to intuitively convey its intent via social cues to pass through aisles and avoid misunderstanding in passing interactions with people, which frequently occur when a robot navigates in narrow shared environments. Inspired by observations of human behavior, the proposed algorithm estimates the extent to which a person understands the robot's intent on the basis of the person's reactions to the oncoming robot and provides the robot with corresponding motion strategies for effective passing interactions. We implemented the proposed algorithm onto an omni-directional humanoid robot and conducted a field study over six days in a store with 75 cm wide narrow aisles. The resulting behaviors of 50 customers demonstrated that our proposed method provided people with a clearer understanding of the robot's intent in passing interactions, and thus the robot had more opportunity (73.1%) to pass through aisles compared to 16.7% if the robot moved and then waited for people to make space.","New York, NY, USA",,9.7984E+12,,,"motion control, narrow space, social navigation, social robot","Boulder, CO, USA",,9,HRI '24
inproceedings,Visuo-Textual Explanations of a Robot's Navigational Choices,"Halilovic, Amar and Lindner, Felix",2023,,Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,,,531?€?535,Association for Computing Machinery,10.1145/3568294.3580141,https://doi.org/10.1145/3568294.3580141,"With the rise in the number of robots in our daily lives, human-robot encounters will become more frequent. To improve human-robot interaction (HRI), people will require explanations of robots' actions, especially if they do something unexpected. Our focus is on robot navigation, where we explain why robots make specific navigational choices. Building on methods from the area of Explainable Artificial Intelligence (XAI), we employ a semantic map and techniques from the area of Qualitative Spatial Reasoning (QSR) to enrich visual explanations with knowledge-level spatial information. We outline how a robot can generate visual and textual explanations simultaneously and test our approach in simulation.","New York, NY, USA",,9.78145E+12,,,"explainable artificial intelligence, human-robot interaction, obstacle avoidance, robot navigation","Stockholm, Sweden",,5,HRI '23
inproceedings,The Role of Lexical Alignment in Human Understanding of Explanations by Conversational Agents,"Srivastava, Sumit and Theune, Mari\",2023,,Proceedings of the 28th International Conference on Intelligent User Interfaces,,,423?€?435,Association for Computing Machinery,10.1145/3581641.3584086,https://doi.org/10.1145/3581641.3584086,"Explainable Artificial Intelligence (XAI) focuses on research and technology that can explain an AI system?€?s functioning and its underlying methods, and also on making these explanations better through personalization. Our research study investigates a natural language personalization method called lexical alignment in understanding an explanation provided by a conversational agent. The study setup was online and navigated the participants through an interaction with a conversational agent. Participants faced either an agent designed to align its responses to those of the participants, a misaligned agent, or a control condition that did not involve any dialogue. The dialogue delivered an explanation based on a pre-defined set of causes and effects. The recall and understanding of the explanations was evaluated using a combination of Yes-No questions, a Cloze test (fill-in-the-blanks), and What-style questions. The analysis of the test scores revealed a significant advantage in information recall for those who interacted with an aligning agent against the participants who either interacted with a non-aligning agent or did not go through any dialogue. The Yes-No type questions that included probes on higher-order inferences (understanding) also reflected an advantage for the participants who had an aligned dialogue against both non-aligned and no dialogue conditions. The results overall suggest a positive effect of lexical alignment on understanding of explanations.","New York, NY, USA",,9.7984E+12,,,"explainable artificial intelligence, human-machine interaction, lexical alignment, lexical entrainment","Sydney, NSW, Australia",,13,IUI '23
inproceedings,Effects of Transparency in Humanoid Robots - A Pilot Study,"Mellmann, Heinrich and Arbuzova, Polina and Kontogiorgos, Dimosthenis and Yordanova, Magdalena and Haensel, Jennifer X. and Hafner, Verena V. and Bryson, Joanna J.",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,750?€?754,Association for Computing Machinery,10.1145/3610978.3640613,https://doi.org/10.1145/3610978.3640613,"Transparency is recognized as a vital feature for understanding and predicting robot behavior. Another feature that affects interaction with robots is their anthropomorphism. The relationship between these remains under-explored but is postulated to be negative. We present a pilot study investigating the effects of robot transparency in human-robot interactions, where the robot has an anthropomorphic appearance. We asked participants to evaluate and interact with the humanoid robot Pepper to examine whether visualizing the robot's goals and behavior affects perceived intelligence, anthropomorphism, and robot agency. Our preliminary findings suggest that users may attribute higher ratings of agency when interacting with a robot visualizing its goals. In this late-breaking report, we propose our experiment on the interplay between transparency and anthropomorphism in human-robot interaction and summarize insights from our preliminary pilot study.","New York, NY, USA",,9.7984E+12,,,"HRI, anthropomorphism, legibility, transparency","Boulder, CO, USA",,5,HRI '24
article,Delivering the Future: Understanding User Perceptions of Delivery Robots,"Shin, Hyorim and Choi, Junho and Oh, Changhoon",2024,Proc. ACM Hum.-Comput. Interact.,,8,CSCW1,,Association for Computing Machinery,10.1145/3653687,https://doi.org/10.1145/3653687,"Delivery robots are increasingly becoming part of our urban landscape. However, the general public is divided about their presence in public spaces; some welcome their usefulness, while others see them as intrusive or even threatening. This study aims to understand users' perceptions of these robots to provide concrete insights into their further development. First, we used text mining to analyze people's reactions to popular YouTube videos featuring delivery robots. Based on these findings, we applied the scenario-based design method to develop scenarios illustrating user interactions with delivery robots. We then conducted in-depth interviews with 30 participants to explore their views on these scenarios. Our analysis highlighted several design issues, including robots' aesthetics, interactions with pedestrians, and the broader physical and regulatory framework. We also identified common concerns and positive expectations for these robots. From these findings, we propose design implications for the future of delivery robots.","New York, NY, USA",196,,,Apr-24,"delivery robot, human-robot interaction, in-depth interview, scenario-based design, text mining, user experience",,,24,
